date,tn_energy_gwh,kerala_energy_gwh,karnataka_energy_gwh,ap_energy_gwh,sr_max_demand_mw,sr_demand_met_mw,sr_peak_shortage_mw,sr_energy_gwh,sr_wind_gwh,sr_solar_gwh,india_energy_gwh
2013-01-02,247.7,57.7,174.6,253.0,,32126.0,1652.0,739.0,21.0,,2694.0
2013-03-31,223.2,56.0,158.0,253.7,,28778.0,5156.0,697.0,13.0,,2526.0
2013-04-01,234.4,57.6,159.4,248.5,,30828.0,5663.0,706.0,19.0,,2575.0
2013-04-02,229.4,59.5,164.6,249.0,,30407.0,5792.0,709.0,15.0,,2558.0
2013-04-03,224.0,62.0,163.7,249.0,,28887.0,6514.0,705.0,6.0,,2551.0
2013-04-04,227.3,61.4,161.8,253.9,,30916.0,5409.0,711.0,15.0,,2586.0
2013-04-05,230.2,60.5,163.3,246.0,,30563.0,5747.0,707.0,21.0,,2566.0
2013-04-06,241.3,59.4,161.1,248.9,,30691.0,5832.0,717.0,34.0,,2588.0
2013-04-07,227.2,56.3,161.2,246.5,,30510.0,4885.0,697.0,16.0,,2552.0
2013-04-08,227.8,60.3,169.6,250.5,,30599.0,6792.0,715.0,15.0,,2624.0
2013-04-09,233.7,59.3,172.1,249.0,,31129.0,5629.0,721.0,13.0,,2647.0
2013-04-10,236.7,59.4,169.7,245.0,,31219.0,5418.0,717.0,18.0,,2620.0
2013-04-11,233.7,60.8,162.4,246.0,,30220.0,5013.0,709.0,18.0,,2628.0
2013-04-12,228.9,61.2,169.3,248.8,,31115.0,6172.0,715.0,9.0,,2643.0
2013-04-13,225.1,60.5,172.2,250.4,,30500.0,6142.0,715.0,10.0,,2626.0
2013-04-14,237.2,57.4,167.2,249.5,,30337.0,3797.0,717.0,15.0,,2542.0
2013-04-15,224.3,57.9,170.8,249.2,,31781.0,5255.0,709.0,41.0,,2632.0
2013-04-16,246.3,59.6,169.6,249.7,,31565.0,5304.0,732.0,44.0,,2671.0
2013-04-17,241.1,61.1,170.7,241.1,,31071.0,5288.0,721.0,42.0,,2665.0
2013-04-18,243.7,60.4,171.2,245.7,,31009.0,4554.0,728.0,38.0,,2637.0
2013-04-19,236.4,60.7,166.7,247.8,,30759.0,5354.0,718.0,24.0,,2577.0
2013-04-20,236.0,60.0,169.5,238.0,,31028.0,3415.0,710.0,28.0,,2519.0
2013-04-21,230.3,55.4,161.7,231.2,,29057.0,3997.0,685.0,17.0,,2455.0
2013-04-22,232.6,59.8,167.4,234.6,,30034.0,5243.0,701.0,14.0,,2537.0
2013-04-23,233.4,60.5,169.4,235.0,,30248.0,3864.0,705.0,11.0,,2606.0
2013-04-24,231.6,59.7,164.2,232.3,,30423.0,5699.0,694.0,9.0,,2642.0
2013-04-25,232.9,58.9,156.8,239.2,,30038.0,5204.0,695.0,11.0,,2653.0
2013-04-26,232.8,59.0,149.4,238.8,,29801.0,6157.0,687.0,7.0,,2622.0
2013-04-27,231.7,58.3,156.3,242.6,,29412.0,4924.0,695.0,10.0,,2677.0
2013-04-28,241.9,52.9,149.0,240.6,,28344.0,3197.0,691.0,29.0,,2635.0
2013-04-29,238.3,53.6,153.8,242.8,,30311.0,4932.0,695.0,20.0,,2713.0
2013-04-30,233.4,59.0,158.6,245.9,,31151.0,6161.0,703.0,7.0,,2754.0
2013-05-01,220.2,56.7,153.7,240.2,,29384.0,5153.0,677.0,8.0,,2663.0
2013-05-02,225.8,58.8,160.2,236.3,,29748.0,5931.0,688.0,26.0,,2696.0
2013-05-03,249.6,60.4,163.2,242.0,,31801.0,4342.0,722.0,46.0,,2736.0
2013-05-04,238.5,60.0,167.7,240.9,,30451.0,5042.0,714.0,33.0,,2728.0
2013-05-05,223.8,56.4,164.2,237.1,,28160.0,4867.0,688.0,13.0,,2666.0
2013-05-06,221.9,59.6,165.5,242.5,,29951.0,5387.0,696.0,11.0,,2739.0
2013-05-07,228.2,57.9,168.9,239.7,,31505.0,4931.0,701.0,23.0,,2743.0
2013-05-08,254.5,58.7,167.7,241.0,,30590.0,6357.0,729.0,46.0,,2813.0
2013-05-09,259.0,59.0,146.4,242.7,,31307.0,4202.0,714.0,54.0,,2815.0
2013-05-10,259.4,61.2,149.5,244.9,,31238.0,3686.0,722.0,66.0,,2812.0
2013-05-11,258.6,60.7,147.1,247.7,,30402.0,2840.0,721.0,67.0,,2764.0
2013-05-12,257.0,56.2,141.8,229.8,,27675.0,1380.0,691.0,81.0,,2640.0
2013-05-13,250.7,58.5,156.8,240.4,,31045.0,3518.0,712.0,69.0,,2704.0
2013-05-14,267.3,58.0,159.4,241.4,,31174.0,3363.0,732.0,89.0,,2777.0
2013-05-15,265.9,58.1,162.4,238.7,,31005.0,4083.0,731.0,95.0,,2784.0
2013-05-16,263.9,59.0,162.3,236.4,,30877.0,3862.0,728.0,68.0,,2797.0
2013-05-17,233.5,60.2,168.5,239.2,,30997.0,5217.0,708.0,48.0,,2786.0
2013-05-18,232.9,60.2,162.9,235.0,,30408.0,4382.0,698.0,44.0,,2766.0
2013-05-19,239.6,56.8,146.3,240.1,,29784.0,3626.0,689.0,39.0,,2718.0
2013-05-20,238.9,54.5,149.4,239.8,,29544.0,5400.0,689.0,44.0,,2779.0
2013-05-21,252.8,52.8,142.3,243.3,,31439.0,3484.0,698.0,52.0,,2821.0
2013-05-22,262.9,59.2,152.8,245.9,,30928.0,3569.0,727.0,86.0,,2858.0
2013-05-23,260.4,59.2,150.8,243.0,,31002.0,4058.0,720.0,92.0,,2857.0
2013-05-24,264.0,58.5,160.8,242.9,,31514.0,3115.0,732.0,105.0,,2880.0
2013-05-25,255.1,53.1,159.0,244.7,,30641.0,3412.0,719.0,103.0,,2862.0
2013-05-26,241.4,48.8,148.5,244.1,,29312.0,2700.0,689.0,90.0,,2785.0
2013-05-27,246.7,53.6,147.7,240.4,,28839.0,3313.0,695.0,90.0,,2811.0
2013-05-28,250.8,54.1,146.4,242.0,,29518.0,3060.0,700.0,85.0,,2831.0
2013-05-29,246.2,53.8,141.9,235.4,,28556.0,4491.0,684.0,76.0,,2798.0
2013-05-30,230.8,51.4,139.9,224.5,,28504.0,3223.0,653.0,64.0,,2714.0
2013-05-31,230.8,51.4,139.9,224.5,,28504.0,3223.0,653.0,64.0,,2714.0
2013-06-01,226.2,47.6,122.3,225.8,,27662.0,4493.0,628.0,65.0,,2671.0
2013-06-02,224.7,44.1,117.4,216.4,,25009.0,2378.0,609.0,75.0,,2599.0
2013-06-04,238.6,51.0,131.1,223.6,,28483.0,3344.0,651.0,76.0,,2716.0
2013-06-05,246.4,53.1,135.5,227.3,,28404.0,4211.0,669.0,74.0,,2737.0
2013-06-06,245.1,51.3,132.6,221.6,,28492.0,3276.0,657.0,82.0,,2696.0
2013-06-07,242.0,50.2,134.9,222.7,,28326.0,3273.0,656.0,83.0,,2640.0
2013-06-08,246.1,47.9,130.9,210.0,,28038.0,2667.0,641.0,91.0,,2664.0
2013-06-09,237.7,44.2,121.8,208.1,,27246.0,2353.0,618.0,89.0,,2598.0
2013-06-10,238.3,50.3,136.7,216.3,,29379.0,3213.0,648.0,89.0,,2646.0
2013-06-11,247.4,47.3,138.6,218.5,,29020.0,2546.0,658.0,97.0,,2624.0
2013-06-12,243.3,48.5,137.7,212.4,,28864.0,3160.0,649.0,103.0,,2573.0
2013-06-13,241.7,47.4,135.7,209.8,,28414.0,2933.0,641.0,109.0,,2499.0
2013-06-14,251.3,47.5,136.6,203.0,,28324.0,2546.0,645.0,115.0,,2559.0
2013-06-15,248.2,46.5,135.6,207.8,,28308.0,3571.0,645.0,112.0,,2446.0
2013-06-16,244.2,42.8,127.0,213.7,,27834.0,2447.0,634.0,102.0,,2323.0
2013-06-17,251.7,48.4,140.9,227.4,,29948.0,2527.0,675.0,104.0,,2384.0
2013-06-18,257.0,49.8,146.8,233.3,,30167.0,2322.0,694.0,110.0,,2507.0
2013-06-19,258.3,50.9,147.9,235.3,,28727.0,2353.0,699.0,96.0,,2579.0
2013-06-20,263.2,50.9,148.5,240.4,,29223.0,2796.0,710.0,98.0,,2655.0
2013-06-21,266.5,52.1,151.2,240.9,,29506.0,2165.0,717.0,102.0,,2720.0
2013-06-22,265.4,51.0,148.6,231.3,,28503.0,2715.0,703.0,106.0,,2723.0
2013-06-23,249.4,46.2,140.7,224.1,,27355.0,2056.0,667.0,95.0,,2672.0
2013-06-24,256.0,47.9,145.9,221.9,,28631.0,2066.0,678.0,100.0,,2718.0
2013-06-25,254.2,48.3,141.3,214.9,,28726.0,2036.0,665.0,90.0,,2688.0
2013-06-26,262.0,50.8,142.7,223.0,,29034.0,2206.0,685.0,90.0,,2733.0
2013-06-27,263.3,52.3,143.9,229.0,,29138.0,2161.0,695.0,96.0,,2680.0
2013-06-29,258.4,52.9,148.0,227.8,,29113.0,2387.0,693.0,82.0,,2636.0
2013-06-30,246.0,49.3,140.8,231.5,,27400.0,2147.0,674.0,77.0,,2505.0
2013-07-01,256.4,51.4,148.8,234.9,,29296.0,2854.0,698.0,84.0,,2700.0
2013-07-02,255.7,52.3,150.4,228.9,,29843.0,3681.0,694.0,96.0,,2741.0
2013-07-03,260.1,50.6,147.4,230.9,,28260.0,2354.0,695.0,91.0,,2736.0
2013-07-04,259.8,49.8,145.0,223.9,,28926.0,2604.0,685.0,93.0,,2698.0
2013-07-05,261.8,53.0,150.0,223.0,,28899.0,3387.0,694.0,78.0,,2717.0
2013-07-06,258.2,53.3,149.0,224.8,,28970.0,2107.0,692.0,78.0,,2719.0
2013-07-07,237.4,48.5,137.8,218.4,,26472.0,1998.0,648.0,56.0,,2628.0
2013-07-08,245.9,52.0,144.5,219.8,,28900.0,3198.0,668.0,68.0,,2654.0
2013-07-09,253.3,53.4,148.1,225.5,,28910.0,2173.0,687.0,67.0,,2664.0
2013-07-10,249.2,47.5,147.1,223.9,,28345.0,2698.0,674.0,61.0,,2633.0
2013-07-11,245.0,50.9,140.5,214.5,,27812.0,1374.0,657.0,62.0,,2664.0
2013-07-12,251.5,52.4,138.8,205.5,,27898.0,2149.0,655.0,73.0,,2653.0
2013-07-13,254.6,52.2,136.2,209.2,,28168.0,1986.0,658.0,86.0,,2655.0
2013-07-14,244.0,49.2,130.3,215.6,,26248.0,2039.0,645.0,67.0,,2593.0
2013-07-15,250.4,53.5,141.9,221.1,,28469.0,1866.0,673.0,79.0,,2685.0
2013-07-16,249.2,53.0,141.1,221.3,,28261.0,2169.0,671.0,82.0,,2703.0
2013-07-17,251.6,53.1,141.4,211.8,,27628.0,2253.0,664.0,84.0,,2724.0
2013-07-18,251.6,51.4,138.6,214.6,,27674.0,1253.0,662.0,86.0,,2722.0
2013-07-19,245.1,51.2,137.0,206.3,,26865.0,1331.0,646.0,81.0,,2688.0
2013-07-20,238.8,51.2,132.5,207.2,,26940.0,1866.0,636.0,69.0,,2592.0
2013-07-21,228.5,47.3,124.5,213.4,,26007.0,1305.0,619.0,60.0,,2537.0
2013-07-22,243.0,51.1,136.5,209.9,,27921.0,1750.0,646.0,73.0,,2648.0
2013-07-23,246.8,51.2,129.8,202.0,,27451.0,2025.0,636.0,77.0,,2617.0
2013-07-24,247.9,51.5,131.5,213.7,,27654.0,1474.0,651.0,77.0,,2643.0
2013-07-25,242.3,51.0,136.3,226.4,,27709.0,1639.0,662.0,83.0,,2633.0
2013-07-26,253.0,50.0,135.0,233.8,,28272.0,1756.0,678.0,79.0,,2637.0
2013-07-28,246.1,48.5,124.0,235.9,,26931.0,1543.0,661.0,71.0,,2579.0
2013-07-29,254.8,52.6,134.9,243.6,,29627.0,2042.0,692.0,78.0,,2655.0
2013-07-30,261.6,54.4,137.4,238.0,,29378.0,2378.0,698.0,98.0,,2660.0
